id,name,quarter,category,evidence_grade,referral_zones,clinical_note,differentiate_from,source
ue-facet-c3c4,C3–C4 facet joint,upper,Zygapophysial (facet) joint,A,Upper posterior neck (primary); Mid posterior neck (primary); Lower posterior neck (common); Occiput (common); Suboccipital (spillover),Neck pain from the suboccipital region down to the lower neck — characteristically WITHOUT shoulder involvement. That absence is the useful discriminator from C4–5 and below.,,"Dwyer, Aprill & Bogduk, Spine 1990 — volunteer distension; corroborated in symptomatic patients by Fukui et al., Pain 1996."
ue-facet-c4c5,C4–C5 facet joint,upper,Zygapophysial (facet) joint,A,Lower posterior neck (primary); Top of shoulder / suprascapular (primary); Mid posterior neck (common); Superior angle of scapula (spillover),More caudally located than C3–4: top of the shoulder and the lower part of the neck. Fukui found lower posterior cervical in 76% and suprascapular in 43% of symptomatic patients.,,"Dwyer, Aprill & Bogduk, Spine 1990 — volunteer distension; Fukui et al., Pain 1996."
ue-facet-c5c6,C5–C6 facet joint,upper,Zygapophysial (facet) joint,A,Lower posterior neck (primary); Top of shoulder / suprascapular (primary); Superior angle of scapula (common); Posterior deltoid / posterior shoulder (spillover); Interscapular / upper thoracic paraspinal (spillover),"Lower neck, top of the scapula and the shoulder region above the level of the scapular spine. Together with C2–3, one of the two most frequently implicated levels in chronic neck pain (~35% of cases).",,"Dwyer, Aprill & Bogduk, Spine 1990 — volunteer distension; Fukui et al., Pain 1996; prevalence data from Cooper, Bailey & Bogduk, Pain Medicine 2007."
ue-facet-c6c7,C6–C7 facet joint,upper,Zygapophysial (facet) joint,A,Superior angle of scapula (primary); Interscapular / upper thoracic paraspinal (primary); Lower posterior neck (common); Top of shoulder / suprascapular (common); Vertebral border of scapula (spillover),"Extends caudally as far as the scapular spine. Fukui: superior scapular angle 48%, mid-scapular 41%, lower posterior cervical 33%.",,"Dwyer, Aprill & Bogduk, Spine 1990 — volunteer distension; Fukui et al., Pain 1996."
ue-facet-c7t1,C7–T1 facet joint,upper,Zygapophysial (facet) joint,B,Interscapular / upper thoracic paraspinal (primary); Vertebral border of scapula (common); Superior angle of scapula (common); Lower posterior neck (spillover),Mid-scapular region in 86% of patients; superior angle of scapula in 28%. Note this level rests on patient-provocation data only — a tier below the C2–3 to C6–7 volunteer maps.,,"Fukui et al., Pain 1996 — intra-articular contrast/dorsal ramus stimulation in 61 SYMPTOMATIC patients. Not covered by the Dwyer volunteer study."
ue-facet-tlower,Lower thoracic facet joints (T9–T12),upper,Zygapophysial (facet) joint,B,Thoracolumbar junction (primary); Mid thoracic paraspinal (T5–T8) (common); Flank / lateral trunk (common); Lumbar paraspinal (spillover); Lumbar midline (spillover),"Paraspinal pain at and just below the segment, with modest lateral spread into the flank. Graded B rather than A because the range is split: T9–10 and T10–11 have volunteer-provocation evidence, but T11–12 rests on symptomatic-patient data alone. Same caveat as the rest of the thoracic spine: granular per-segment diagrams circulating in handouts are illustrative composites, not something either primary study reports.",,"Dreyfuss et al., Spine 1994 — volunteers, but only as far down as T10–11; Fukui et al., Reg Anesth 1997 — T11–12, symptomatic patients only."
ue-facet-tmid,Mid thoracic facet joints (T5–T8),upper,Zygapophysial (facet) joint,A,Mid thoracic paraspinal (T5–T8) (primary); Interscapular / upper thoracic paraspinal (common); Flank / lateral trunk (spillover),"Local paraspinal zone lateral to the joint, half a segment above to one segment below. IMPORTANT: 27% of injected joints produced no pain at all, and the resulting patterns overlap heavily with costotransverse joint and soft-tissue patterns — thoracic maps are far less segment-discriminating than the cervical ones.",,"Dreyfuss, Tibiletti & Dreyer, Spine 1994 — distension in asymptomatic volunteers (T3–4 to T10–11)."
ue-facet-tupper,Upper thoracic facet joints (T1–T4),upper,Zygapophysial (facet) joint,B,Interscapular / upper thoracic paraspinal (primary); Vertebral border of scapula (common); Superior angle of scapula (spillover); Lower posterior neck (spillover),"Local paraspinal pain lateral to the joint, from about half a segment above to a full segment below the joint of origin. Does not cross the midline and does not reliably distinguish adjacent levels.",,"Fukui et al., Reg Anesth 1997 (symptomatic patients, T1–2/T2–3); Dreyfuss, Tibiletti & Dreyer, Spine 1994 (volunteers, from T3–4 down)."
ue-joint-acj,Acromioclavicular joint,upper,Peripheral joint / bursa,A,Top of shoulder / suprascapular (primary); Superior angle of scapula (common); Anterior deltoid / anterior shoulder (common); Lower posterior neck (spillover); Lateral deltoid / lateral shoulder (spillover),"Burning pain over the joint itself, deep in the supraspinatus fossa and upper trapezius, sometimes extending to the anterolateral deltoid and anterolateral neck. Can convincingly mimic cervical or trapezius myofascial pain.",Upper trapezius myofascial pain; C4–5/C5–6 facet; cervical radiculopathy,"Gerber, Galantay & Hersche, JSES 1998 — hypertonic saline injection mapping in asymptomatic volunteers. (Sample size not verifiable from open sources.)"
ue-joint-subacromial,Subacromial space / bursa,upper,Peripheral joint / bursa,A,Lateral deltoid / lateral shoulder (primary); Top of shoulder / suprascapular (common); Anterior / lateral upper arm (spillover),Intense pain at the lateral border of the acromion and over the lateral deltoid — a more focal and more distal pattern than AC joint referral. This is the classic 'impingement' distribution.,C5 radiculopathy; supraspinatus/infraspinatus myofascial referral; axillary nerve entrapment,"Gerber, Galantay & Hersche, JSES 1998 — hypertonic saline injection in asymptomatic volunteers."
ue-lig-cerv-isl,Cervical interspinous ligaments,upper,Spinal ligament,C,Mid posterior neck (primary); Lower posterior neck (primary); Top of shoulder / suprascapular (common); Interscapular / upper thoracic paraspinal (common); Occiput (spillover),"Deep, diffuse, segmentally-organised ache in the neck and shoulder girdle that does NOT follow dermatomes. Foundational but small-N, non-blinded 1930s–50s work; Inman & Saunders noted the resulting maps 'could not be given with any great precision'.",,"Kellgren, Clin Sci 1939 — hypertonic saline injection in volunteers; replicated in principle by Feinstein et al. 1954."
ue-lig-thor-isl,Thoracic interspinous ligaments,upper,Spinal ligament,C,Mid thoracic paraspinal (T5–T8) (primary); Interscapular / upper thoracic paraspinal (common); Thoracolumbar junction (common); Flank / lateral trunk (common); Lateral chest wall / axillary line (spillover),"Segmental paraspinal ache with lateral spread around the chest wall. Superficial structures (supraspinous ligament, spinous process) give sharply localised pain instead — the depth of the structure, not its level, determines whether pain refers.",,"Kellgren, Clin Sci 1939; Feinstein et al. 1954."
ue-m-adductor-pollicis,Adductor pollicis,upper,Muscle (myofascial),C,Thumb / thenar eminence (primary); Thumb–index web space (primary); Palm (common); Wrist (common),"Base of the thumb, thumb–index web space, centre of the palm and the wrist. Confined to the hand — can convincingly mimic carpal tunnel syndrome.",Carpal tunnel syndrome; CMC arthritis,Travell & Simons Vol. 1.
ue-m-biceps,Biceps brachii,upper,Muscle (myofascial),C,Anterior deltoid / anterior shoulder (primary); Anterior / lateral upper arm (primary); Antecubital / anterior elbow (common); Volar forearm (spillover),Anterior shoulder (front of deltoid) and down the front of the arm to the antecubital crease.,,Travell & Simons Vol. 1.
ue-m-brachialis,Brachialis,upper,Muscle (myofascial),C,Antecubital / anterior elbow (primary); Thumb / thenar eminence (primary); Thumb–index web space (primary); Anterior / lateral upper arm (common),"Front of the elbow over the muscle belly, with a distinctive projection to the base and dorsal web space of the THUMB — that thumb referral is the signature.",C6 radiculopathy; de Quervain's; CMC arthritis,Travell & Simons Vol. 1.
ue-m-brachioradialis,Brachioradialis,upper,Muscle (myofascial),C,Lateral epicondyle / lateral elbow (primary); Dorsoradial forearm (primary); Thumb–index web space (primary); Thumb / thenar eminence (common); Wrist (spillover),Lateral epicondyle ('tennis elbow' mimic) and down the dorsoradial forearm to the web space between thumb and index finger.,Lateral epicondylalgia; radial tunnel syndrome; C6 radiculopathy,Travell & Simons Vol. 1.
ue-m-coracobrachialis,Coracobrachialis,upper,Muscle (myofascial),C,Anterior deltoid / anterior shoulder (primary); Anterior / lateral upper arm (common); Posterior upper arm (common); Dorsal forearm (common); Dorsum of hand (common),"Anterior deltoid and front of the upper arm, with an unusually long reach for a small muscle — down the entire posterior arm to the dorsal forearm and hand.",,Travell & Simons Vol. 1.
ue-m-deltoid,Deltoid (anterior / posterior),upper,Muscle (myofascial),C,Anterior deltoid / anterior shoulder (primary); Posterior deltoid / posterior shoulder (primary); Lateral deltoid / lateral shoulder (common); Anterior / lateral upper arm (spillover); Posterior upper arm (spillover),"Localised to the involved third of the muscle itself, spreading only into the adjacent upper arm. Unusual among shoulder muscles for NOT projecting distal to the elbow.",,Travell & Simons Vol. 1.
ue-m-obliques,External / internal obliques,upper,Muscle (myofascial),C,Epigastric / upper abdomen (primary); Groin / inguinal (primary); Anterior hip (primary); Pubic / adductor origin (primary); Lower abdomen (common); Flank / lateral trunk (common); Lateral chest wall / axillary line (spillover),"Upper fibres refer to the epigastrium and mimic heartburn; lower fibres refer to the groin and, in men, the testicle/scrotum. A well-known McBurney's-point mimic on the right — sometimes mistaken for appendicitis.",Appendicitis (EXCLUDE FIRST); inguinal hernia; hip pathology,Travell & Simons Vol. 1.
ue-m-finger-ext,Finger extensors (EDC / EIP),upper,Muscle (myofascial),C,"Dorsal forearm (primary); Dorsum of hand (primary); Wrist (common); Radial digits (index, middle) (common); Ulnar digits (ring, little) (common)","Dorsal forearm and wrist referring into the dorsum of the corresponding finger(s) — a roughly segmental, one-slip-per-finger pattern.",,Travell & Simons Vol. 1.
ue-m-first-dorsal-io,First dorsal interosseous,upper,Muscle (myofascial),C,"Radial digits (index, middle) (primary); Thumb–index web space (primary); Dorsum of hand (common)","Radial side of the index finger, running its full length to the fingertip, plus the dorsal web space. Frequently mistaken for digital nerve entrapment.",Digital nerve entrapment; C6/C7 radiculopathy,Travell & Simons Vol. 1.
ue-m-iliocostalis-lumb,Iliocostalis lumborum,upper,Muscle (myofascial),C,Lumbar paraspinal (primary); Lumbar midline (primary); Sacroiliac joint region (common); Upper buttock (common); Lower buttock / gluteal fold (common); Flank / lateral trunk (common); Thoracolumbar junction (common),Local low back extending into the buttock; sits more lateral than the longissimus pattern.,,Travell & Simons Vol. 1.
ue-m-iliocostalis-thor,Iliocostalis thoracis,upper,Muscle (myofascial),C,Mid thoracic paraspinal (T5–T8) (primary); Flank / lateral trunk (common); Lateral chest wall / axillary line (common); Anterior chest / precordial / breast (common); Interscapular / upper thoracic paraspinal (common),Segmental paraspinal band at the level of the trigger point that WRAPS AROUND THE CHEST WALL following the rib contours — can mimic cardiac or pleuritic pain.,Cardiac / pleuritic pain (EXCLUDE FIRST); thoracic facet; costotransverse joint,Travell & Simons Vol. 1.
ue-m-infraspinatus,Infraspinatus,upper,Muscle (myofascial),C,"Anterior deltoid / anterior shoulder (primary); Lateral deltoid / lateral shoulder (common); Anterior / lateral upper arm (common); Dorsoradial forearm (common); Vertebral border of scapula (common); Radial digits (index, middle) (spillover); Top of shoulder / suprascapular (spillover)","Deep ache in the ANTERIOR shoulder/deltoid — the single most classic 'shoulder pain' myofascial pattern. Spillover down the lateral arm and radial forearm, plus local pain at the vertebral border of the scapula. Characteristically painful at rest and prevents sleeping on the affected side. The experimental corroboration covers only the arm component, not the anterior-deltoid, forearm or scapular zones, so the grade stays C with the rest of the myofascial maps.",C5 radiculopathy (has weakness/reflex change); subacromial bursitis (painful arc); AC joint,"Zone map: Travell & Simons Vol. 1. Referral direction separately corroborated by hypertonic saline injection in healthy volunteers producing referred pain in the ipsilateral upper arm (Leffler et al., Eur J Pain 2000)."
ue-m-lats,Latissimus dorsi,upper,Muscle (myofascial),C,"Inferior angle of scapula (primary); Mid thoracic paraspinal (T5–T8) (common); Medial upper arm (common); Posterior upper arm (common); Medial epicondyle / medial elbow (common); Ulnar digits (ring, little) (common); Ulnar forearm (spillover)","Constant ache over the inferior angle of the scapula and mid-back (the 'cape' of pain), spilling down the medial/posterior arm to the medial epicondyle and into the ring and little fingers.",C8 radiculopathy; cubital tunnel,Travell & Simons Vol. 1.
ue-m-levator-scap,Levator scapulae,upper,Muscle (myofascial),C,Lower posterior neck (primary); Vertebral border of scapula (primary); Top of shoulder / suprascapular (common); Superior angle of scapula (common); Posterior deltoid / posterior shoulder (spillover),Angle of the neck (the neck–shoulder junction) and along the vertebral border of the scapula to its inferior angle. Classically limits cervical rotation toward the painful side.,,Travell & Simons Vol. 1.
ue-m-longissimus,Longissimus thoracis,upper,Muscle (myofascial),C,Mid thoracic paraspinal (T5–T8) (primary); Thoracolumbar junction (primary); Lumbar paraspinal (common); Lumbar midline (common); Sacroiliac joint region (common); Upper buttock (common); Lower buttock / gluteal fold (common); Interscapular / upper thoracic paraspinal (spillover),"Paraspinal band at the trigger point level — upper points stay local with some radiation toward the scapula; lower points extend into the buttock, generally more MEDIAL than the iliocostalis lumborum pattern.",,Travell & Simons Vol. 1.
ue-m-low-trap,Lower trapezius,upper,Muscle (myofascial),C,Mid thoracic paraspinal (T5–T8) (primary); Top of shoulder / suprascapular (common); Interscapular / upper thoracic paraspinal (common); Lower posterior neck (common); Occiput (spillover),"Local ache at the T6–T9 paraspinal origin and over the top of the shoulder, with spillover to the base of the neck and mastoid — Travell & Simons specifically flag this 'far' referral as atypical.",,Travell & Simons Vol. 1.
ue-m-mid-trap,Middle trapezius,upper,Muscle (myofascial),C,Interscapular / upper thoracic paraspinal (primary); Vertebral border of scapula (common); Top of shoulder / suprascapular (spillover); Lower posterior neck (spillover),"Superficial burning ache between the vertebral border of the scapula and the spine, locally over C7–T3.",,Travell & Simons Vol. 1.
ue-m-multifidi,Multifidi,upper,Muscle (myofascial),C,Lumbar paraspinal (primary); Lumbar midline (primary); Sacroiliac joint region (primary); Upper buttock (primary); Lower buttock / gluteal fold (primary); Mid posterior neck (common); Occiput (common); Mid thoracic paraspinal (T5–T8) (common); Thoracolumbar junction (common),"Very localised deep segmental pain directly over or adjacent to the spinous process at the level involved. Cervical level refers to the occiput; lumbosacral level refers to the buttock and occasionally the posterior thigh, mimicking sciatica.",Lumbar radiculopathy; facet joint pain,Travell & Simons Vol. 1.
ue-m-opponens-pollicis,Opponens pollicis,upper,Muscle (myofascial),C,Thumb / thenar eminence (primary); Wrist (common); Thumb–index web space (spillover),"Runs the length of the palmar/radial thumb itself, occasionally to the dorsal thumb and volar wrist.",,Travell & Simons Vol. 1.
ue-m-pec-major,Pectoralis major,upper,Muscle (myofascial),C,"Anterior chest / precordial / breast (primary); Anterior deltoid / anterior shoulder (common); Medial upper arm (common); Medial epicondyle / medial elbow (common); Ulnar digits (ring, little) (common); Ulnar forearm (spillover)",Anterior chest wall and breast. Clinically important: sternal-head trigger points near the 5th–6th costal cartilage can produce precordial pain and arrhythmia-like sensations that mimic cardiac disease — a well-documented diagnostic pitfall. Spillover down the medial arm to the ulnar digits.,Angina / cardiac pain (EXCLUDE FIRST); costochondritis; C8–T1 radiculopathy,Travell & Simons Vol. 1.
ue-m-pec-minor,Pectoralis minor,upper,Muscle (myofascial),C,"Anterior chest / precordial / breast (primary); Anterior deltoid / anterior shoulder (common); Medial upper arm (common); Ulnar forearm (common); Ulnar digits (ring, little) (common)","Anterior chest and shoulder below the clavicle, referring down the medial arm and forearm to the ulnar three digits — overlapping the ulnar/thoracic outlet pattern.",Neurogenic thoracic outlet syndrome (subcoracoid space); C8 radiculopathy,Travell & Simons Vol. 1.
ue-m-pronator-teres,Pronator teres,upper,Muscle (myofascial),C,"Volar forearm (primary); Wrist (primary); Thumb / thenar eminence (common); Radial digits (index, middle) (common); Antecubital / anterior elbow (common); Palm (spillover)","Volar proximal forearm and radial wrist, spilling to the radial three digits and thenar region. Can accompany true median nerve paresthesia (pronator teres syndrome).",Carpal tunnel syndrome; pronator syndrome; C6 radiculopathy,Travell & Simons Vol. 1.
ue-m-rectus-abd,Rectus abdominis,upper,Muscle (myofascial),C,Epigastric / upper abdomen (primary); Lower abdomen (primary); Thoracolumbar junction (common); Lumbar paraspinal (common); Lumbar midline (common); Mid thoracic paraspinal (T5–T8) (common); Anterior chest / precordial / breast (spillover),Hallmark feature: upper trigger points refer BILATERALLY across the mid and low back and can mimic epigastric or cardiac pain; lower trigger points refer bilaterally to the low back and sacral region and can produce colicky abdominal pain with GI symptoms.,Visceral pathology (EXCLUDE FIRST); lumbar facet; discogenic low back pain,Travell & Simons Vol. 1.
ue-m-rhomboids,Rhomboid major / minor,upper,Muscle (myofascial),C,Vertebral border of scapula (primary); Interscapular / upper thoracic paraspinal (common),"Superficial, localised ache along the vertebral border of the scapula. One of the few patterns with essentially NO spillover and no projection into the arm — that confinement is the diagnostic clue.",,Travell & Simons Vol. 1.
ue-m-scalenes,Scalenes (anterior / middle / posterior),upper,Muscle (myofascial),C,"Anterior chest / precordial / breast (primary); Vertebral border of scapula (primary); Dorsoradial forearm (primary); Thumb / thenar eminence (common); Radial digits (index, middle) (common); Anterior deltoid / anterior shoulder (common); Anterior / lateral upper arm (common); Interscapular / upper thoracic paraspinal (common)","Anterior/pectoral chest wall, vertebral border of scapula, and down the radial forearm to thumb and index finger — closely mimics C6 radiculopathy. Posterior scalene skews more interscapular.",C6 radiculopathy; neurogenic thoracic outlet syndrome; carpal tunnel,Travell & Simons Vol. 1.
ue-m-serratus-ant,Serratus anterior,upper,Muscle (myofascial),C,"Lateral chest wall / axillary line (primary); Inferior angle of scapula (common); Medial upper arm (common); Ulnar forearm (spillover); Ulnar digits (ring, little) (spillover); Anterior chest / precordial / breast (spillover)",Lateral chest wall in the mid-axillary line — the classic 'stitch in the side' — wrapping to the inferior scapular angle and down the medial arm to the ulnar forearm and digits. Often accompanied by air hunger / difficulty taking a deep breath.,,Travell & Simons Vol. 1.
ue-m-serratus-post-inf,Serratus posterior inferior,upper,Muscle (myofascial),C,Thoracolumbar junction (primary); Flank / lateral trunk (spillover),"Localised, persistent ache at the thoracolumbar junction over the muscle itself. One of the more confined trunk patterns — in sharp contrast to serratus posterior superior's long reach into the hand.",,Travell & Simons Vol. 1.
ue-m-serratus-post-sup,Serratus posterior superior,upper,Muscle (myofascial),C,"Vertebral border of scapula (primary); Inferior angle of scapula (common); Posterior deltoid / posterior shoulder (common); Posterior upper arm (common); Ulnar forearm (common); Ulnar digits (ring, little) (common); Dorsum of hand (spillover)","Deep, poorly localised ache UNDER the scapula, referring down the posterior arm to the ulnar forearm, hand and little finger, with occasional numbness in a C8–T1 distribution. The 'ache I can't reach'.",C8 radiculopathy; neurogenic thoracic outlet syndrome,Travell & Simons Vol. 1.
ue-m-splenius-cap,Splenius capitis,upper,Muscle (myofascial),C,Vertex / top of head (primary); Upper posterior neck (spillover),A 'boring' pain focused at the very top of the head. Classically no frontal or ocular involvement — that absence distinguishes it from sternocleidomastoid.,,Travell & Simons Vol. 1.
ue-m-splenius-cerv,Splenius cervicis,upper,Muscle (myofascial),C,Frontal / supraorbital / retro-orbital (primary); Occiput (primary); Upper posterior neck (common); Lower posterior neck (common); Top of shoulder / suprascapular (spillover),"Retro-orbital pain (behind the eye) and the angle of the neck/occiput, with reported ipsilateral blurred vision as a concomitant.",,Travell & Simons Vol. 1.
ue-m-scm,Sternocleidomastoid (both heads),upper,Muscle (myofascial),C,Vertex / top of head (primary); Face / cheek / jaw (primary); Frontal / supraorbital / retro-orbital (primary); Ear / retromastoid (primary); Temporal / side of head (common); Anterior neck / throat (common); Anterior chest / precordial / breast (spillover),"Sternal head: vertex, cheek/malar region, supraorbital ridge, deep in the ear, pharynx (sore-throat sensation), sternum. Clavicular head: bilateral frontal headache, deep ear pain, plus autonomic phenomena (postural dizziness, disequilibrium, tinnitus, lacrimation) that are a hallmark feature.",Trigeminal neuralgia; TMD; cervicogenic dizziness; sinus headache,Travell & Simons Vol. 1.
ue-m-suboccipitals,Suboccipital group,upper,Muscle (myofascial),C,Suboccipital (primary); Occiput (primary); Temporal / side of head (common); Vertex / top of head (common); Frontal / supraorbital / retro-orbital (common),"Diffuse, deep, band- or 'halo'-like pain from the occiput over the top of the head toward the temple and eye. Travell & Simons note this pattern does not map to a crisp cutaneous zone.",,Travell & Simons Vol. 1.
ue-m-subscapularis,Subscapularis,upper,Muscle (myofascial),C,Posterior deltoid / posterior shoulder (primary); Inferior angle of scapula (common); Vertebral border of scapula (common); Posterior upper arm (common); Wrist (common),Severe deep pain over the posterior shoulder and scapula — the 'shoulder holster' pattern — with a distinctive circumferential band around the wrist in severe cases. Strongly associated with frozen-shoulder-type restriction.,Adhesive capsulitis; posterior labral pathology,Travell & Simons Vol. 1.
ue-m-supinator,Supinator,upper,Muscle (myofascial),C,Lateral epicondyle / lateral elbow (primary); Dorsoradial forearm (common); Thumb–index web space (common); Thumb / thenar eminence (spillover),Lateral epicondyle and proximal dorsal forearm — mimics resistant lateral epicondylalgia and radial tunnel syndrome — with spillover to the dorsal thumb web space.,Lateral epicondylalgia (resistant); PIN/radial tunnel entrapment,Travell & Simons Vol. 1.
ue-m-supraspinatus,Supraspinatus,upper,Muscle (myofascial),C,Lateral deltoid / lateral shoulder (primary); Top of shoulder / suprascapular (common); Anterior / lateral upper arm (common); Lateral epicondyle / lateral elbow (common); Dorsoradial forearm (spillover); Wrist (spillover),"Deep, boring ache centred over the mid-deltoid, spilling down the arm and forearm, occasionally to the wrist.",Subacromial impingement; C5 radiculopathy,Travell & Simons Vol. 1.
ue-m-teres-major,Teres major,upper,Muscle (myofascial),C,Posterior deltoid / posterior shoulder (primary); Inferior angle of scapula (common); Posterior upper arm (common); Olecranon / posterior elbow (spillover),"Posterior deltoid and the inferior angle of the scapula, spilling down the back of the arm toward the elbow.",,Travell & Simons Vol. 1.
ue-m-teres-minor,Teres minor,upper,Muscle (myofascial),C,Posterior deltoid / posterior shoulder (primary),"A small, circumscribed patch of deep ache over the posterior deltoid near the axillary scapular border. Notably does NOT radiate — the confinement is the clue.",,Travell & Simons Vol. 1.
ue-m-triceps,Triceps brachii,upper,Muscle (myofascial),C,"Posterior upper arm (primary); Olecranon / posterior elbow (primary); Posterior deltoid / posterior shoulder (common); Dorsal forearm (common); Dorsum of hand (spillover); Lateral epicondyle / lateral elbow (spillover); Ulnar digits (ring, little) (spillover)","Posterior shoulder, posterior upper arm and the olecranon/posterior elbow, spilling down the posterior forearm to the dorsum of the hand.",,Travell & Simons Vol. 1 (multiple distinct trigger point sites).
ue-m-upper-trap,Upper trapezius,upper,Muscle (myofascial),C,Lower posterior neck (primary); Temporal / side of head (primary); Mid posterior neck (common); Face / cheek / jaw (common); Occiput (common); Top of shoulder / suprascapular (common); Ear / retromastoid (spillover),"Posterolateral neck up to the temple — the classic unilateral 'tension headache' pattern — and the angle of the jaw. Spillover to occiput and mastoid. One of only two muscles here whose referral DIRECTION has independent experimental support; the grade stays C because the mapped zone borders still come from clinical observation, and the saline work corroborates direction, not extent.",C2–3 facet; cervicogenic headache; migraine,"Zone map: Travell & Simons Vol. 1 (clinical observation). Referral DIRECTION separately corroborated by controlled hypertonic saline injection in healthy volunteers (Graven-Nielsen, Arendt-Nielsen et al.)."
ue-m-wrist-flex,"Wrist / finger flexors (FCR, FCU, FDS, FDP)",upper,Muscle (myofascial),C,"Volar forearm (primary); Palm (primary); Ulnar forearm (common); Wrist (common); Ulnar digits (ring, little) (common); Radial digits (index, middle) (spillover)","Volar forearm referring to the palm, volar wrist and corresponding fingers — FCU skews ulnar/little finger, FCR skews radial palm. Palmaris longus is distinct: a superficial, hypersensitive 'pins-and-needles' patch in the centre of the palm rather than a deep ache.",Carpal tunnel syndrome; Guyon's canal; C8 radiculopathy,Travell & Simons Vol. 1.
ue-m-wrist-ext,Wrist extensors (ECRL / ECRB / ECU),upper,Muscle (myofascial),C,"Lateral epicondyle / lateral elbow (primary); Wrist (primary); Dorsal forearm (common); Dorsum of hand (common); Radial digits (index, middle) (spillover)",ECRL/ECRB: lateral epicondyle spilling to the dorsum of the hand and wrist (ECRB into the dorsal middle finger). ECU stays fairly localised to the dorsal-ulnar wrist.,Lateral epicondylalgia; C6–C7 radiculopathy,Travell & Simons Vol. 1.
ue-root-c4,C4 nerve root (dynatome),upper,Nerve root (dynatome),B,Lower posterior neck (primary); Top of shoulder / suprascapular (primary); Superior angle of scapula (spillover),Base of neck and top of shoulder. Only 4 stimulations at this level — the least-supported root map.,,"Slipman et al., Spine 1998 — fluoroscopically guided cervical nerve root stimulation, 134 stimulations in 87 subjects (only 4 at C4)."
ue-root-c5,C5 nerve root (dynatome),upper,Nerve root (dynatome),B,Lateral deltoid / lateral shoulder (primary); Top of shoulder / suprascapular (common); Anterior / lateral upper arm (common); Lower posterior neck (common); Anterior deltoid / anterior shoulder (spillover),Lateral shoulder and lateral arm. NOTE: dynatomal (symptom) maps are measurably broader than textbook dermatomes — the expected pattern held in as little as 54% of stimulations.,,"Slipman et al., Spine 1998 (14 stimulations at C5)."
ue-root-c6,C6 nerve root (dynatome),upper,Nerve root (dynatome),B,"Dorsoradial forearm (primary); Thumb / thenar eminence (primary); Radial digits (index, middle) (common); Anterior / lateral upper arm (common); Lateral deltoid / lateral shoulder (common); Lower posterior neck (common); Ulnar digits (ring, little) (spillover); Superior angle of scapula (spillover)","Lateral arm, dorsoradial forearm, thumb and index finger — but ~30% of C6 stimulations also produced LITTLE FINGER symptoms, classically a C8 finding. Intrathecal anastomoses between adjacent dorsal roots (up to ~61%) blur segment-specific territories.",C7 root; radial tunnel; de Quervain's; carpal tunnel,"Slipman et al., Spine 1998 (43 stimulations at C6)."
ue-root-c7,C7 nerve root (dynatome),upper,Nerve root (dynatome),B,"Dorsal forearm (primary); Radial digits (index, middle) (primary); Posterior upper arm (common); Interscapular / upper thoracic paraspinal (common); Vertebral border of scapula (common); Dorsum of hand (common); Olecranon / posterior elbow (spillover)","Posterior arm, dorsal forearm, middle finger, and prominent interscapular/scapular referral. Proximal (scapular) referral is far more common in dynatomal maps than dermatome charts suggest.",,"Slipman et al., Spine 1998 (52 stimulations at C7 — the largest subgroup)."
ue-root-c8,C8 nerve root (dynatome),upper,Nerve root (dynatome),B,"Ulnar digits (ring, little) (primary); Ulnar forearm (primary); Medial upper arm (common); Medial epicondyle / medial elbow (common); Interscapular / upper thoracic paraspinal (spillover); Radial digits (index, middle) (spillover)","Ulnar forearm, ring and little fingers — but ~24% of C8 stimulations produced INDEX FINGER symptoms, classically a C6/C7 finding. Symptom location does not reliably localise the root.",Cubital tunnel; Guyon's canal; neurogenic thoracic outlet syndrome,"Slipman et al., Spine 1998 (21 stimulations at C8)."
